Unnamed: 0,Car Name,Price,Depreciation,Reg Date,Mileage,Road Tax,Dereg Value,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,COE,Car Make,Car Model Name,COE End Date (raw),COE End Date,Price_num,Depreciation_num,Mileage_num,Road Tax_num,OMV_num,ARF_num,Engine Cap_num,Power_num,No. of Owners_num,COE_num,Cluster
0,Toyota Vios 1.5M E (COE till 07/2022),"$11,800 ","$7,980 /yr",,"165,200 km (12.2k /yr)",$958 /yr,,"1,497 cc","1,075 kg",2007.0,Manual,"$11,989 ","$13,188 ",80.0 kW (107 bhp),3,"$24,100 ",Toyota,Vios 1.5M E,,2022-07-01,11800.0,7980.0,16520012.2,958.0,11989.0,13188.0,1497,80.0107,3.0,24100.0,2.0
1,Mitsubishi Lancer EX 1.6A,"$28,800 ",,,"128,000 km (15.9k /yr)",$738 /yr,,"1,590 cc","1,322 kg",2012.0,Auto,"$16,673 ","$16,673 ",86.0 kW (115 bhp),1,"$66,889 ",Mitsubishi,Lancer EX 1.6A,,,28800.0,,12800015.9,738.0,16673.0,16673.0,1590,86.0115,1.0,66889.0,2.0
2,Kia Cerato K3 1.6A SX,"$58,888 ",,,"46,974 km (11.9k /yr)",$738 /yr,,"1,591 cc","1,295 kg",2016.0,Auto,"$17,780 ","$17,780 ",95.3 kW (127 bhp),1,"$48,401 ",Kia,Cerato K3 1.6A SX,,,58888.0,,4697411.9,738.0,17780.0,17780.0,1591,95.3127,1.0,48401.0,0.0
3,Mitsubishi Lancer 1.6A GLX (COE till 03/2029),"$41,800 ","$5,180 /yr",,"134,000 km (11.2k /yr)",$881 /yr,,"1,584 cc","1,162 kg",2009.0,Auto,"$14,693 ","$14,693 ",79.0 kW (105 bhp),2,"$25,525 ",Mitsubishi,Lancer 1.6A GLX,,2029-03-01,41800.0,5180.0,13400011.2,881.0,14693.0,14693.0,1584,79.0105,2.0,25525.0,2.0
4,Toyota Corolla Altis 1.6A (New 10-yr COE),"$55,800 ","$5,580 /yr",,"185,000 km (18.4k /yr)",$742 /yr,N.A.,"1,598 cc","1,195 kg",2010.0,Auto,"$16,286 ","$16,286 ",90.0 kW (120 bhp),3,N.A.,Toyota,Corolla Altis 1.6A,,2035-12-31,55800.0,5580.0,18500018.4,742.0,16286.0,16286.0,1598,90.012,3.0,,2.0
5,Toyota Corolla Axio 1.5A X (COE till 04/2024),"$22,800 ","$7,080 /yr",,"125,000 km (10.6k /yr)",$818 /yr,,"1,496 cc","1,130 kg",2008.0,Auto,"$12,135 ","$12,135 ",81.0 kW (108 bhp),4,"$13,088 ",Toyota,Corolla Axio 1.5A X,,2024-04-01,22800.0,7080.0,12500010.6,818.0,12135.0,12135.0,1496,81.0108,4.0,13088.0,2.0
6,Mazda 3 1.5A,"$65,800 ",,,"23,443 km (8.5k /yr)",$682 /yr,,"1,496 cc","1,310 kg",2017.0,Auto,"$14,299 ","$14,299 ",88.0 kW (118 bhp),2,"$38,389 ",Mazda,3 1.5A,,,65800.0,,234438.5,682.0,14299.0,14299.0,1496,88.0118,2.0,38389.0,1.0
7,Honda Civic 1.6A VTi (COE till 10/2023),"$21,800 ","$8,070 /yr",,"128,888 km (10.5k /yr)",$962 /yr,,"1,595 cc","1,220 kg",2008.0,Auto,"$20,060 ","$20,060 ",92.0 kW (123 bhp),3,"$15,142 ",Honda,Civic 1.6A VTi,,2023-10-01,21800.0,8070.0,12888810.5,962.0,20060.0,20060.0,1595,92.0123,3.0,15142.0,2.0
8,Hyundai Elantra 1.6A Elite,"$38,500 ",,,"127,000 km (19.3k /yr)",$738 /yr,,"1,591 cc","1,292 kg",2014.0,Auto,"$13,360 ","$13,360 ",97.0 kW (130 bhp),2,"$61,990 ",Hyundai,Elantra 1.6A Elite,,,38500.0,,12700019.3,738.0,13360.0,13360.0,1591,97.013,2.0,61990.0,2.0
9,Mazda 3 1.5A Deluxe,"$77,500 ",,,"24,000 km (11k /yr)",$682 /yr,,"1,496 cc","1,331 kg",2018.0,Auto,"$17,656 ","$17,656 ",88.0 kW (118 bhp),1,"$25,000 ",Mazda,3 1.5A Deluxe,,,77500.0,,2400011.0,682.0,17656.0,17656.0,1496,88.0118,1.0,25000.0,1.0
